origin,destination,sexo,flow
4625012,0313301,mujer,2.0709999999999997
4617102,4625002,mujer,146.4795
4618403,4625016,mujer,2.16775
03035_AM,0300904,hombre,39.97025
1204009,12117,hombre,22.906249999999996
4620401,46207,mujer,693.4225
4625017,46013,hombre,410.5927500000001
46230,4625016,mujer,89.18274999999998
4625019,4625011,hombre,955.5895000000002
46001_AM,46001_AM,mujer,1316.1592499999995
4625010,4625009,hombre,8225.231749999999
0306302,03097_AM,mujer,61.745
46135,4607002,mujer,537.49675
46102,4625015,hombre,385.3845
0301405,0305905,mujer,35.866749999999996
4623501,4623503,hombre,993.0405
4625010,4625003,mujer,3706.837250000001
0303101,0301404,mujer,83.4075
46020,46179,hombre,32.018
46183,46169,hombre,3.25425
0306504,0301401,mujer,92.16425000000001
46255_AM,03011,mujer,1.8752499999999999
03140,0307902,mujer,27.913750000000007
12021,1213502,hombre,197.255
0301408,03043,hombre,15.831000000000001
4600501,4625005,mujer,50.88125
0313302,03012,hombre,230.26500000000001
46102,4601705,hombre,22.498500000000003
4625019,4625018,mujer,81.83824999999999
4625009,4608302,mujer,5.61525
1204007,1204007,mujer,14599.234500000008
46014,46207,hombre,105.93750000000001
4613107,4625012,mujer,7.38375
4607801,4625002,mujer,244.99675
1204007,46029,mujer,3.10425
0301501,03076,hombre,491.91399999999993
03076,0309905,mujer,358.6425
4600502,4625019,mujer,78.93149999999999
4607801,4625003,hombre,385.6312499999999
0312101,03093,hombre,45.28374999999999
0310404,0310402,mujer,2431.7162499999995
0301401,03094,mujer,40.54025000000001
0313301,0306501,mujer,35.868750000000006
46105,46011_AM,mujer,50.62825
4625005,4622007,hombre,53.32025
12128_AM,46194,mujer,2.3994999999999997
1203205,1203203,mujer,1192.1589999999997
0306605,0306602_AD,mujer,2051.8875
4624802,4624802,mujer,231.7765
0305002,03069,hombre,22.8735
4625006,4625003,hombre,1621.4707500000004
46110,46126,mujer,15.80125
46085,4615903,hombre,25.006749999999997
4625005,46022_AM,mujer,207.42600000000002
03055,0312101,mujer,30.81
46177_AM,4625012,hombre,100.2205
0300906,4625010,hombre,3.398
0304102,03128,hombre,2151.1735
46205,4625011,mujer,215.71525000000003
0301404,0306302,hombre,28.340250000000005
4625013,1204004,mujer,13.531750000000002
46230,4622007,hombre,7.864
46177_AM,4620402,mujer,134.5185
46164,46190,hombre,246.23899999999998
46008,4623502,mujer,151.06799999999998
03005_AM,0305902,hombre,436.17599999999993
1213504,4625010,hombre,36.004
4618402,46004_AM,mujer,1616.5652499999999
46029,4608304,hombre,203.75549999999996
46060,4625007,hombre,34.63125
0306502,0313301,mujer,57.330000000000005
46110,1203205,mujer,4.008
46182_AM,4625015,hombre,32.214
4625010,0306507,mujer,14.063749999999999
03089,0301403,hombre,35.14575000000001
4624404,46257,mujer,11.308
46903,46021,mujer,63.332499999999996
46013,1200502,hombre,2.5395
46016_AM,4601702,mujer,50.471
46111,1204007,hombre,6.2645
4607801,4625019,mujer,57.235
0308203,03097_AM,mujer,60.50475
46020,46020,mujer,1109.3305
4620401,46120_AM,mujer,28.273
0311302,0301904,mujer,2.5
4623503,46060,mujer,19.75
46160_AM,4608302,mujer,90.0635
1208202,0301402,mujer,0.5
46200_AM,4613106,mujer,23.0
0301903,0306501,mujer,32.879749999999994
4625007,4608304,mujer,11.2045
4620402,4625011,mujer,118.29900000000004
12033_AM,1203205,mujer,14.412999999999998
46163,4614702,mujer,12.35125
0306604,0310401,mujer,216.28949999999998
46009,4615902,mujer,8.35075
0311302,03120,mujer,17.75
4601702,46203_AM,mujer,143.90925
46218_AM,4613105,mujer,82.4485
46042,4624404,mujer,2.0
46230,4607002,mujer,30.89075
0301903,03005_AM,mujer,7.0
12140_AM,46177_AM,mujer,11.9085
46193,46178,mujer,7.89125
0306303,0304701,mujer,51.0
03035_AM,03089,mujer,1.25
4615902,46229_AM,mujer,8.588000000000001
4623502,03128,mujer,3.75
0306601,0312202,mujer,3.5
12129_AM,1200901,mujer,5.6
4601705,4608303,mujer,165.78325
1204003,4625019,mujer,1.927
0309001,03074_AM,mujer,3.75
0310403,0303103,mujer,2.0
1208201,46013,mujer,3.31525
4613105,4601703,mujer,1.75
4608302,46085,mujer,30.5625
46126,46199,mujer,107.065
1204001,12072_AM,mujer,21.68925
0305902,0309908,mujer,24.22075
46145,4618403,mujer,160.98825
46169,46177_AM,mujer,45.295
12124,1208403,mujer,11.681000000000001
12033_AM,1208402,mujer,48.66475
12106_AM,4625016,mujer,8.3015
0312102,46173_AM,mujer,0.5
0308202,03006_AM,mujer,10.0
4600503,4625007,mujer,143.166
12072_AM,12124,mujer,37.0
4625013,46116,mujer,203.51174999999995
1207702,46082,mujer,9.5
46035,4625009,mujer,77.69525
0305003,03107,mujer,2.0
03002_AM,0306505,mujer,8.25925
12012_AM,4622005_AD,hombre,60.8905
1208402,1200901,hombre,114.58175
0303101,0313902,hombre,22.423250000000003
0300907,4625013,hombre,2.1275
1204003,12902_AM,hombre,47.25
46080_AM,4622006,hombre,13.810500000000001
0307102,03006_AM,hombre,60.5005
0313302,03111,hombre,34.589999999999996
12117,12050_AM,hombre,115.894
4625017,4625008,hombre,68.32425000000002
03081,4615903,hombre,1.25
4608302,4625004,hombre,6.986
03107,0303104,hombre,263.27725
4625001,1208202,hombre,19.152250000000002
03140,46102,hombre,6.87925
46172,46156,hombre,71.53325000000001
46139,46016_AM,hombre,33.2275
03140,0307901,hombre,21.906
0310201,03901,hombre,70.85225
12031,12085,hombre,61.548750000000005
12106_AM,12128_AM,hombre,13.208749999999998
46257,46084_AM,hombre,268.79225
4601901,46230,hombre,23.951999999999998
0306502,4625012,hombre,2.29025
0306303,46183,hombre,2.25
4624801,46177_AM,hombre,1.0
46135,46113,hombre,2.9525
46034,4613102,hombre,210.7735
03026_AM,0308203,hombre,100.87400000000001
03109,03064,hombre,169.345
12117,12124,hombre,27.25
46258,46106_AM,hombre,378.881
0306501,03120,hombre,6.4215
4622003_AD,46217_AM,hombre,0.75
03092_AM,4625006,hombre,5.71575
0300901,0306505,hombre,1.75
0305001,03043,hombre,5.1114999999999995
12124,12117,hombre,25.25
0300903,0302101,hombre,8.75
4623504,4601701,hombre,20.40775
0301801,0306304,hombre,12.5
4625001,46082,hombre,53.62475
03095,0301802,hombre,11.098749999999999
46134,1204008,hombre,5.75
03101,0306301,hombre,565.8487500000001
46098,4623502,hombre,201.9935
03035_AM,03097_AM,hombre,19.326
0307102,46145,hombre,2.0
46169,4613104,hombre,4.252
46094,46183,hombre,6.171749999999999
1203205,4625012,hombre,6.633249999999999
1208201,12072_AM,hombre,14.0
4623801,4623802,hombre,315.42325
46063_AM,4625006,hombre,3.4925
4625019,46060,hombre,102.03075
03058,03002_AM,hombre,8.25
4618403,46203_AM,hombre,4.5
46228,4624404,mujer,6.04125
46051,46903,mujer,176.25625
0301903,03077,hombre,78.7115
46020,46157,hombre,74.94575
4601703,4601901,hombre,20.5
0301406,03056,hombre,19.28875
46037_AM,0307102,hombre,2.25
0301501,03044_AM,hombre,141.77225
0302102,0306604,mujer,26.621500000000005
0306507,0311901,mujer,119.90474999999998
0304902,03055,hombre,422.21924999999993
0312201,03140,mujer,16.92175
1213504,46194,mujer,3.584
46067_AM,46213,hombre,2.561
0306303,0306507,hombre,13.45025
46094,4614702,hombre,57.62775
4625012,4625012,mujer,19974.006499999996
03002_AM,03088,mujer,371.3175
46022_AM,46014,mujer,22.290749999999996
4615903,4625016,mujer,245.63474999999994
0301402,0301405,mujer,2866.706
4613107,46168_AM,hombre,66.379
4607802,46089_AM,hombre,12.845749999999999
46060,4625006,hombre,62.495249999999984
4615901,4615903,mujer,2571.3602499999997
46094,46194,mujer,827.011
4625012,46186,hombre,251.911
46169,46145,hombre,14.555
0306302,0303102,mujer,25.062250000000002
46102,46194,hombre,238.92600000000004
0306503,03088,mujer,136.32999999999998
03140,0312203,hombre,106.73374999999999
4624403,4625009,mujer,322.14000000000004
46181,4601704,hombre,10.85225
4625007,46186,hombre,409.28900000000004
4613103,4613103,hombre,1215.92725
46011_AM,4601701,hombre,812.3245
