origin,destination,sexo,flow
0313901,0306303,mujer,2.0
46126,46164,mujer,404.985
4613107,4613106,mujer,770.2850000000001
46074,46025,mujer,58.0
12012_AM,46205,mujer,9.862
4601701,46170,mujer,3.0
4618403,46200_AM,mujer,94.852
0305003,03011,hombre,13.0
46067_AM,46051,hombre,84.322
46134,1208201,hombre,10.0
4601702,46197_AM,hombre,76.22
0301902,0306602_AD,hombre,26.487000000000002
1204008,12117,hombre,62.468
0305903,0312203,hombre,9.0
0313301,03903,hombre,240.27300000000002
4601703,46145,hombre,24.732
46223,4625019,hombre,1447.8199999999997
03083,0306507,hombre,42.86
0306507,0313903,hombre,150.454
46237,4617101,hombre,54.0
0300901,46183,hombre,4.0
0306503,03076,hombre,40.777
0306502,0309002,hombre,43.386
46021,46230,hombre,365.38800000000003
46186,4625019,mujer,636.0850000000002
4623802,4623801,hombre,431.99199999999996
46120_AM,1204003,mujer,7.62
4615901,4625015,mujer,107.232
46116,46202,hombre,4507.882
0306503,0309906,mujer,34.824
0306604,03105,hombre,123.726
46186,46094,mujer,307.31899999999996
0310404,03105,hombre,146.628
46116,46135,mujer,89.305
46193,4625009,hombre,1189.5580000000002
4625002,4625002,hombre,10393.757999999998
4600502,4625009,hombre,157.16200000000003
03064,0301403,mujer,9.814
0310404,03105,mujer,125.737
03111,0309908,mujer,1266.12
03012,03140,hombre,2.0
0302101,0303102,mujer,3.0
4624402,46007_AM,mujer,157.692
0309903,0309902,mujer,1873.4089999999997
0300908,0307903,mujer,389.01
0309001,0311901,mujer,475.694
12011_AM,1208202,mujer,50.0
0312101,0306501,mujer,432.27699999999993
0310404,0301407,mujer,49.22800000000001
03094,03097_AM,mujer,153.902
1212602,46134,mujer,19.058
46134,12104,mujer,15.0
0306503,0301501,mujer,63.142
0313901,03112_AM,mujer,218.02300000000002
46055_AM,0306302,mujer,15.286999999999999
0303102,03076,mujer,6.0
46257,0302102,mujer,1.0
0306602_AD,0306501,mujer,43.299
03026_AM,46055_AM,mujer,9.0
4625008,4620402,mujer,24.844
0301502,03024,mujer,244.55300000000003
1204001,1207701,mujer,11.969000000000001
1213503,1208202,hombre,85.06400000000001
0313903,0301904,hombre,4.0
46014,4622006,hombre,57.522
1204005,12011_AM,hombre,15.0
0300903,03092_AM,hombre,142.312
4607802,46014,hombre,40.873
0305902,0312202,hombre,5.920999999999999
46170,0300908,hombre,4.0
03089,03105,hombre,462.227
0309908,03024,hombre,779.623
0306507,0305302,hombre,45.99
46127_AM,4613105,hombre,93.408
03140,0311901,hombre,5.25
46113,4613107,mujer,143.329
4613106,4613103,hombre,1039.469
4625007,4615903,hombre,177.089
1213502,4625007,mujer,5.158
46200_AM,46181,hombre,51.605000000000004
0313903,03083,mujer,11.994
4625016,4625007,mujer,715.021
1203205,12901,mujer,768.105
4615903,46903,hombre,158.977
4613102,46037_AM,mujer,425.777
0301407,0303102,hombre,54.346000000000004
1212602,1213502,hombre,85.411
46011_AM,4623501,mujer,9.313
0304702,0301801,mujer,138.052
0301408,03058,mujer,16.0
0304101,0303103,mujer,28.0
03089,0305003,mujer,4.0
0311302,0301401,mujer,8.453
46120_AM,1204007,mujer,10.0
03056,0302101,mujer,18.701
03044_AM,0301401,mujer,6.0
0304901,0309901,mujer,161.0
1213503,1200901,mujer,128.274
4600501,46903,mujer,6.55
1204002,4615901,mujer,3.0
03114,0301407,mujer,3.0
0305301,0307903,hombre,430.48299999999995
03138,0308203,hombre,75.102
0301903,0301902,hombre,527.558
1203205,1212602,hombre,50.546
03034_AM,0301401,hombre,11.123000000000001
46183,46173_AM,hombre,1611.8039999999999
46216,4615901,hombre,27.0
46223,4625009,hombre,630.047
4613104,46127_AM,hombre,75.16
0303102,0307902,hombre,3.0
46164,4625007,hombre,51.293000000000006
0310403,0306604,hombre,1495.916
4625010,4625001,mujer,2642.637
0311902,0305002,hombre,2523.2969999999996
4625015,4625004,mujer,1850.178
0311901,0301404,mujer,3298.6160000000004
1208403,1204007,hombre,86.91499999999999
1208402,46205,hombre,15.994
46058_AM,4622003_AD,mujer,682.55
46202,46051,mujer,2329.2600000000007
46212_AM,46085,mujer,1035.106
4622006,1203204,hombre,13.761
4625017,4622007,hombre,22.294
4615903,4625015,mujer,180.615
4625016,12031,mujer,3.793
0301502,03120,mujer,315.27
46164,46207,mujer,2654.8909999999996
46042,4618403,hombre,248.935
12138,12138,hombre,32428.126000000015
0301901,03024,mujer,3.343
0306303,03006_AM,mujer,52.0
4622005_AD,12028,mujer,6.643
1203203,1204004,mujer,85.95
46164,4617101,mujer,59.0
46251_AM,46045_AM,mujer,17.0
46181,46055_AM,mujer,205.021
0309001,0307902,mujer,5.0
4613102,4601705,mujer,24.134
0313301,03024,mujer,71.584
0301401,03034_AM,mujer,5.0
1200902,1204008,mujer,141.215
12004,12031,mujer,16.0
0301802,0313903,mujer,74.358
0301408,4625010,mujer,5.0
46055_AM,46127_AM,hombre,400.763
0304102,46127_AM,hombre,8.0
03088,03069,hombre,1.0
03058,03111,hombre,474.31899999999996
1208202,1200901,hombre,17.0
0313902,0301801,hombre,4.0
4625009,4613101,hombre,2.0
0301904,0301903,hombre,1922.9269999999997
0304902,03089,hombre,3.0
03901,0300901,hombre,3.0
4620402,4625007,hombre,17.293
4625017,46009,hombre,180.048
1213501,1208202,hombre,45.0
0306303,46098,hombre,2.0
46135,4625006,hombre,50.406
46008,4601702,hombre,9.0
1204005,1208201,hombre,78.015
46164,46199,mujer,1746.5410000000004
46160_AM,46145,mujer,939.7489999999999
46110,46102,mujer,1848.8460000000005
4623502,46156,mujer,19.833
0301401,0313901,hombre,62.143
0313303,0312102,hombre,58.943999999999996
46164,46214_AM,hombre,9.651
4625013,4625005,hombre,701.786
1203201,1213504,mujer,764.329
03055,03076,mujer,177.158
4624403,46102,hombre,117.12299999999999
0303104,0301803,mujer,276.287
0304902,03024,mujer,174.598
46237,4607002,hombre,28.214
0313303,03005_AM,hombre,66.609
4625002,4607801,mujer,158.08
0304701,03128,mujer,197.022
0309904,03120,mujer,46.822
46034,46113,mujer,75.0
4623802,46231_AM,mujer,499.303
4601902,46212_AM,mujer,235.01600000000002
1204008,1208202,mujer,74.0
4622005_AD,46120_AM,mujer,978.913
0312203,03035_AM,mujer,18.945
